,DeutscheMark (Euro)/Dollar,UK pound/Dollar,Swiss Franc/Dollar,Japanese Yen/Dollar
260-1a,0.764996354,0.705430157,0.732089971,0.882818392
261-1a,0.014181169,0.026338639,0.03685444,0.041643824
262-1a,0.720961986,0.882569204,0.725888134,0.813630872
263-1a,0.515339044,0.487734766,0.500229519,0.41786365
264-1a,0.038109638,0.067320827,0.037211329,0.104194191
265-1a,0.107359341,0.39702265,0.115377062,0.482677505
266-1a,0.716644114,0.60516211,0.793913176,0.853233399
267-1a,0.993863972,0.992849544,0.995663599,0.90349181
268-1a,0.120969587,0.186932716,0.123776843,0.161644845
269-1a,0.120358976,0.16641275,0.237328054,0.43476218
270-1a,0.898397149,0.820687385,0.798565016,0.604429805
271-1a,0.93134362,0.619004951,0.935805369,0.84963431
272-1a,0.920067509,0.922798989,0.911654863,0.821531623
273-1a,0.005676993,0.036520902,0.006973693,0.015949623
274-1a,0.718420478,0.531072332,0.750582459,0.905615825
275-1a,0.472628776,0.554925093,0.554858237,0.652030122
276-1a,0.679405816,0.711179711,0.732802516,0.647291596
277-1a,0.472277814,0.140880827,0.329142502,0.309763379
278-1a,0.428537946,0.428792145,0.367306755,0.299645864
279-1a,0.753271961,0.359420186,0.845906042,0.72868545
280-1a,0.583180703,0.762412625,0.519276661,0.626695137
281-1a,0.349155868,0.433995291,0.293647034,0.314204893
282-1a,0.69282843,0.08018591,0.680069262,0.473812305
283-1a,0.554891986,0.578584134,0.571252408,0.601415791
284-1a,0.340906439,0.45100425,0.200604125,0.277131478
285-1a,0.362574525,0.458690961,0.361053128,0.342400742
286-1a,0.786189993,0.04417233,0.714519189,0.646870138
287-1a,0.579198609,0.169394285,0.580813235,0.613200314
288-1a,0.308948052,0.600016291,0.393742059,0.455814026
289-1a,0.723795751,0.36279841,0.730673166,0.543617434
290-1a,0.320342761,0.014238345,0.300064091,0.257013133
291-1a,0.801968144,0.409993331,0.787997291,0.547285296
292-1a,0.883268467,0.520725655,0.897124413,0.773869672
293-1a,0.402114507,0.460011267,0.293647003,0.362585756
294-1a,0.789711456,0.48337531,0.606365976,0.522330078
295-1a,0.372341155,0.536300869,0.339316908,0.322787072
296-1a,0.211445249,0.934764741,0.216545499,0.063481383
297-1a,0.088629951,0.094081886,0.068327105,0.099028649
298-1a,0.494329988,0.073424215,0.357678692,0.682201854
299-1a,0.573193455,0.212298963,0.662081727,0.493132274
300-1a,0.472285615,0.698671659,0.490166206,0.289755345
301-1a,0.413461139,0.4374074,0.50551741,0.457496808
302-1a,0.124343423,0.053741214,0.099735024,0.029497855
303-1a,0.573637026,0.754783965,0.519603809,0.077415204
304-1a,0.740537144,0.929231563,0.619179482,0.602776459
305-1a,0.522840203,0.462097106,0.626815892,0.651050832
306-1a,0.156318609,0.285921885,0.082224813,0.008668427
307-1a,0.051658595,0.424590308,0.100753402,0.080832662
308-1a,0.72186435,0.508893404,0.802060982,0.325236738
309-1a,0.9661832,0.955261903,0.960535974,0.900762273
310-1a,0.465187486,0.021255564,0.162091424,0.150591639
311-1a,0.462213026,0.510177249,0.451647045,0.500910056
312-1a,0.591522145,0.222864742,0.606551982,0.445341396
313-1a,0.529671538,0.541194523,0.348839345,0.253687966
314-1a,0.696308647,0.62865691,0.762188749,0.855100596
315-1a,0.146864272,0.319647934,0.118874158,0.014132113
316-1a,0.167689968,0.214862339,0.133482675,0.04411148
317-1a,0.10790226,0.104708165,0.045643119,0.02246847
318-1a,0.869147271,0.694259881,0.833372383,0.881516522
319-1a,0.597421117,0.586117722,0.69916423,0.917476518
320-1a,0.645100883,0.597566688,0.505112926,0.558073075
321-1a,0.495744853,0.399288135,0.45964612,0.21309179
322-1a,0.495120429,0.275446978,0.412706031,0.422456193
323-1a,0.828405959,0.800335178,0.58680527,0.498005393
324-1a,0.059223915,0.054036991,0.02174144,0.057018138
325-1a,0.044566065,0.029049396,0.119561927,0.108837172
326-1a,0.670098585,0.516903771,0.761833824,0.250273999
327-1a,0.615277281,0.689220964,0.559771831,0.825217638
328-1a,0.265625232,0.283725659,0.484762726,0.199042752
329-1a,0.661731514,0.460670273,0.513631395,0.946931706
330-1a,0.063727598,0.067157401,0.07257022,0.220709251
331-1a,0.127032362,0.099013167,0.183473958,0.055749466
332-1a,0.589689763,0.423468895,0.598283174,0.492059105
333-1a,0.55019672,0.449436006,0.610978569,0.52777038
334-1a,0.93676244,0.907098159,0.940535219,0.821369835
335-1a,0.696601559,0.571192706,0.756952434,0.57984634
336-1a,0.730871493,0.956285273,0.667838325,0.657977551
337-1a,0.398017908,0.236914543,0.355295332,0.478273026
338-1a,0.645839554,0.414401502,0.64715929,0.760255063
339-1a,0.101999766,0.085859263,0.110757819,0.08468786
340-1a,0.249701236,0.465805287,0.270490988,0.576421549
341-1a,0.781212978,0.449888793,0.699641488,0.842232403
342-1a,0.151083215,0.330337574,0.185564403,0.29384967
343-1a,0.562531584,0.615785833,0.481564093,0.45741872
344-1a,0.595963044,0.6686349,0.570573709,0.903952538
345-1a,0.721058706,0.904008927,0.73848766,0.505987318
346-1a,0.996546326,0.999674453,0.997035178,0.997267874
347-1a,0.033939432,0.255015432,0.433658124,0.098209159
348-1a,0.960428318,0.658935152,0.879841827,0.732420034
349-1a,0.840802767,0.535479578,0.789719337,0.798701804
350-1a,0.755734847,0.609756104,0.805958855,0.933312304
351-1a,0.008604228,0.050194387,0.00236201,0.00365967
352-1a,0.808023953,0.557194343,0.875303624,0.884250721
353-1a,0.56305459,0.453395843,0.450747725,0.19085932
354-1a,0.122238764,0.437556443,0.16207831,0.495185521
355-1a,0.300585817,0.0426612,0.394756974,0.488143453
356-1a,0.441133367,0.465290965,0.426522556,0.420543259
357-1a,0.711012861,0.746761321,0.682569989,0.556036276
358-1a,0.423334954,0.320049595,0.471332191,0.531673297
359-1a,0.937726666,0.875985086,0.933873688,0.908720018
360-1a,0.938810759,0.980986404,0.93943745,0.847297591
361-1a,0.42335608,0.432990134,0.699383782,0.47858466
362-1a,0.613605113,0.607832187,0.580881944,0.533306221
363-1a,0.446169746,0.581167639,0.287518239,0.53909982
364-1a,0.505980108,0.947948125,0.584356711,0.402144269
365-1a,0.936455857,0.980390906,0.905443418,0.925531903
366-1a,0.236092978,0.167597125,0.114587311,0.599331021
367-1a,0.056473285,0.020165462,0.117245625,0.059460168
368-1a,0.839538911,0.842945107,0.842185108,0.937429293
369-1a,0.397323162,0.560366953,0.37737328,0.496454061
